ref,name,lat,long,local_ref,network,operator,shelter,bench,tactile_paving,wheelchair,departure_board,lit,bin,covered,passenger_information_display,pole,flag,kerb,traffic_sign,advertising,layer,street,crossing
503418141,Calcot Lane,50.9305725,-1.2397323,,,,,,,,,,,,,,,,,,,Botley Road,Calcot Lane
503418143,Calcot Lane,50.9299446,-1.2399703,,,,,,,,,,,,,,,,,,,Botley Road,Calcot Lane
503418144,Corner Oaks,50.9263419,-1.2432732,,,,,,,,,,,,,,,,,,,Botley Road,Capers End Lane
503418145,Corner Oaks,50.9263053,-1.2431741,,,,,,,,,,,,,,,,,,,Botley Road,Capers End Lane
503418146,Chapel Lane,50.9234131,-1.2464935,,,,,,,,,,,,,,,,,,,Botley Road,Chapel Lane
503418147,Chapel Lane,50.9234590,-1.2466351,,,,,,,,,,,,,,,,,,,Botley Road,Chapel Lane
503418148,Church Lane,50.9218754,-1.2492927,,,,,,,,,,,,,,,,,,,Botley Road,Church Lane
503418149,Church Lane,50.9219299,-1.2493772,,,,,,,,,,,,,,,,,,,Botley Road,Church Lane
503418150,Botley Station,50.9158999,-1.2592943,,,,,,,,,,,,,,,,,,,Station Hill,Hillsons Road
503418151,Botley Station,50.9157302,-1.2592798,,,,,,,,,,,,,,,,,,,Station Hill,Hillsons Road
503418152,Kings Corner,50.9141914,-1.2623024,,,,,,,,,,,,,,,,,,,Station Hill,
503418153,Kings Corner,50.9139548,-1.2624848,,,,,,,,,,,,,,,,,,,Station Hill,
503418154,Pinkmead Farm,50.9137210,-1.2608893,,,,,,,,,,,,,,,,,,,Station Hill,
503418155,Pinkmead Farm,50.9136493,-1.2609189,,,,,,,,,,,,,,,,,,,Station Hill,
503418156,Fairthorne Manor,50.9111960,-1.2540898,,,,,,,,,,,,,,,,,,,Outlands Lane,
503418157,Fairthorne Manor,50.9110845,-1.2540103,,,,,,,,,,,,,,,,,,,Outlands Lane,
503418158,Horse & Jockey,50.9016203,-1.2515668,,,,,,,,,,,,,,,,,,,A3051 Botley Road,
503418159,Horse & Jockey,50.9016572,-1.2517084,,,,,,,,,,,,,,,,,,,A3051 Botley Road,
503418160,Curbridge,50.9002970,-1.2527542,,,,,,,,,,,,,,,,,,,A3051 Botley Road,Ridge Lane
503418161,Curbridge,50.9003513,-1.2528102,,,,,,,,,,,,,,,,,,,A3051 Botley Road,Ridge Lane
503418162,Bury Farm,50.8988830,-1.2566590,,,,,,,,,,,,,,,,,,,A3051 Botley Road,
503418163,Bury Farm,50.8986694,-1.2570037,,,,,,,,,,,,,,,,,,,A3051 Botley Road,
503418164,River Lane,50.8743371,-1.2112370,,,,,,,,,,,,,,,,,,,Mayles Lane,River Lane
503418165,River Lane,50.8743346,-1.2113473,,,,,,,,,,,,,,,,,,,Mayles Lane,River Lane
503418166,Knowle Cottages,50.8795390,-1.2069591,,,,,,,,,,,,,,,,,,,Mayles Lane,
503418167,Knowle Cottages,50.8795287,-1.2071094,,,,,,,,,,,,,,,,,,,Mayles Lane,
503418168,Redhill Crossroads,50.9057436,-1.1941693,,,,,,,,,,,,,,,,,,,A334 Winchester Road,Titchfield Lane
503418169,Redhill Crossroads,50.9059697,-1.1943502,,,,,,,,,,,,,,,,,,,A334 Winchester Road,Titchfield Lane
503418170,Park Place,50.9029305,-1.1931085,,,,,,,,,,,,,,,,,,,A334 Winchester Road,Cold Harbour Close
503418171,Park Place,50.9030860,-1.1934756,,,,,,,,,,,,,,,,,,,A334 Winchester Road,Cold Harbour Close
